id,kind,z,age_gyr,age_err_gyr,age_code,av_mag,av_err_mag,log_fdust,log_fdust_err,fdust_is_ul,fdust_run,logMstar,logMdust_fid,n_cosmosweb,n_cosmosweb_err,n_gim2d,n_gim2d_err,re_cosmosweb_kpc,re_cosmosweb_maj_arcsec,re_jwst_maj_kpc,re_acs_kpc,logSigmaDust,logSigmaDust_elo,logSigmaDust_ehi,sigmaDust_is_ll,r_dust_kpc,r_dust_is_ul,r_co_kpc,r_co_is_ul,logMdust,sigma_note,alma_det,co_det,dust_det,n,n_err,n_source,re_kpc,re_source,re_err_kpc,has_sigma,has_rco,age_run
hc2,main,0.4192,4.101,0.5861,CIGALE 2025 (CF00),1.337,0.03941,-3.4736,0,True,noagn,11.084,7.6102,2.0526,0.0018034,3.1812,0.062798,1.0275,0.25946,1.4339,2.0292,,,,False,,False,4.521,True,7.6102,"CO unresolved: R < b_maj/2 = 4.52 kpc (beam imaging_v1_header; railed fwhm_min,fwhm_maj); no Sigma_dust (dust undetected: M_dust is a limit and has no size)",True,True,False,2.0526,0.0018034,COSMOS-Web,1.4339,COSMOS-Web (JWST),0,False,True,run_noagn
hc3,main,0.3384,3.483,0.6643,CIGALE 2025 (CF00),0.5369,0.01522,-2.9409,0.13071,False,noagn,11.162,8.2213,1.0134,0.00091238,1.3891,0.017662,4.7594,1.6719,8.079,10.259,-0.74916,0.20688,0.20555,False,12.194,False,9.244,False,8.2213,CO resolved_elliptical (railed nan); dust resolved_elliptical (railed nan),True,True,True,1.0134,0.00091238,COSMOS-Web,8.079,COSMOS-Web (JWST),0,True,True,run_noagn
hc4,main,0.3556,5.008,0.5423,CIGALE 2025 (CF00),0.7055,0.007221,-3.1523,0.14139,False,noagn,11.42,8.2675,4.1364,0.0025065,3.9238,0.035274,3.5376,1.0213,5.0968,8.2557,-0.24585,,,True,7.2041,True,3.9277,False,8.2675,"CO resolved_elliptical (railed nan); dust low-S/N flux (shape verdict no_detection), prior-dominated posterior: R < 84 % bound; elongated_minor_limit-like axes (railed fwhm_min)",True,True,True,4.1364,0.0025065,COSMOS-Web,5.0968,COSMOS-Web (JWST),0,True,True,run_noagn
hc5,main,0.3693,4.389,0.7903,CIGALE 2025 (CF00),0.7007,0.05787,-3.0278,0.098216,False,noagn,11.36,8.3325,,,1.5611,0.009648,,,,9.5674,-0.67623,0.18278,0.20237,False,12.743,False,8.142,False,8.3325,CO resolved_elliptical (railed nan); dust elongated_minor_limit (railed fwhm_min),True,True,True,1.5611,0.009648,ACS/GIM2D,9.5674,ACS/COSMOS,0,True,True,run_noagn
hc7,main,0.3708,4.778,0.5712,CIGALE 2025 (CF00),0.3729,0.02972,-2.8059,0.10527,False,noagn,11.056,8.2497,1.1696,0.0017534,2.0029,0.040984,2.4574,1.354,6.9408,8.1469,-0.54327,0.29776,0.40302,False,9.9403,False,8.0748,False,8.2497,CO elongated_minor_limit (railed fwhm_min); dust elongated_minor_limit (railed fwhm_min),True,True,True,1.1696,0.0017534,COSMOS-Web,6.9408,COSMOS-Web (JWST),0,True,True,run_noagn
hc9,main,0.425,3.996,0.5162,CIGALE 2025 (CF00),1.057,0.06949,-3.0147,0.19414,False,agn,10.85,7.8357,,,3.8878,0.12946,,,,3.6792,-0.61007,,,True,6.665,True,1.5936,False,7.8357,"CO elongated_minor_limit (railed fwhm_min); dust low-S/N flux (shape verdict no_detection), prior-dominated posterior: R < 84 % bound; elongated_minor_limit-like axes (railed fwhm_min)",True,True,True,3.8878,0.12946,ACS/GIM2D,3.6792,ACS/COSMOS,0,True,True,run_noagn
hc10,main,0.3884,5.978,0.574,CIGALE 2025 (CF00),0.23,0.06613,-2.9731,0.12562,False,noagn,11.093,8.1203,,,1.6298,0.010493,,,,4.6606,0.14914,,,True,3.859,True,3.9412,False,8.1203,"CO elongated_minor_limit (railed fwhm_min); dust elongated_minor_limit, borderline major axis (16th pct at the floor): R < b_maj/2 = 3.86 kpc (beam proxy_line; railed fwhm_min,fwhm_maj)",True,True,True,1.6298,0.010493,ACS/GIM2D,4.6606,ACS/COSMOS,0,True,True,run_noagn
hc11,main,0.3467,6.84,0.4871,CIGALE 2025 (CF00),0.4925,0.04063,-3.7937,0.12294,False,noagn,11.645,7.8516,2.6149,0.0014541,2.5459,0.016186,4.8919,1.5506,7.6123,11.8,-0.30146,0.27366,0.32274,False,4.7583,False,3.2883,True,7.8516,"CO detected, shape unconstrained (no_detection): assumed no bigger than the beam: R < b_maj/2 = 3.29 kpc (beam k2_meta_v2; railed concentric_extended_sum:fwhm); railed concentric_extended_sum:fwhm); dust elongated_minor_limit (railed fwhm_min)",True,True,True,2.6149,0.0014541,COSMOS-Web,7.6123,COSMOS-Web (JWST),0,True,True,run_noagn
hc12,main,0.3743,4.544,0.7363,CIGALE 2025 (CF00),1.012,0.01525,-3.1589,0.129,False,noagn,11.438,8.2791,,,1.1671,0.016679,,,,8.7307,-0.06411,0.21164,0.27867,False,5.9227,False,5.1101,False,8.2791,CO elongated_minor_limit (railed fwhm_min); dust elongated_minor_limit (railed fwhm_min),True,True,True,1.1671,0.016679,ACS/GIM2D,8.7307,ACS/COSMOS,0,True,True,run_noagn
jw8,main,0.3712,5.477,0.5981,CIGALE 2025 (CF00),0.1302,0.04046,-3.9796,0,True,noagn,11.256,7.2763,7.0173,0.0094149,5.2883,0.03863,2.681,0.6814,3.4953,7.489,,,,False,,,,False,,,False,False,False,7.0173,0.0094149,COSMOS-Web,3.4953,COSMOS-Web (JWST),0,False,False,run_noagn
