sample,field,id,z,z_type,logM,logM_elo,logM_ehi,av,av_code,av_fast,logssfr,logage_lw,logage_fit,uv,vj,quiescent_uvj,re_arcsec,re_kpc,band,lam_rest_A,re_5000_kpc,q,n,n_err,flag,primary,re_limit
LEGA-C,COSMOS,4792,0.6051,spec,10.52,0.0,0.1300000000000007,0.028,MAGPHYS (de Graaff+21),0.1,-10.32,0.2620000000000004,0.2620000000000004,1.352045484691255,0.9334213064829394,False,0.7437,4.991476428606745,F814W,5071.3351193072085,5.009185341497844,0.9066,2.8815,0.4956,0.0,1.0,0.0
LEGA-C,COSMOS,5786,0.8457,spec,11.118,0.0500000000000007,0.0899999999999998,0.933,MAGPHYS (de Graaff+21),0.5,-10.72,0.4120000000000008,0.4120000000000008,1.8900829728541968,1.3103286560801235,True,0.429,3.2803414203848464,F814W,4410.250853334778,3.1790134827820604,0.7673,4.2252,0.7267,0.0,1.0,0.0
LEGA-C,COSMOS,6859,0.9701,spec,11.312,0.0,0.0,0.217,MAGPHYS (de Graaff+21),0.5,-11.02,0.2019999999999999,0.2019999999999999,1.780477128398821,0.8984281602609709,True,0.95,7.552225619290378,F814W,4131.76996091569,7.2005635587462,0.8648,5.7046,0.9812,0.0,1.0,0.0
LEGA-C,COSMOS,6890,0.9612,spec,11.248,0.0899999999999998,0.1000000000000014,1.276,MAGPHYS (de Graaff+21),1.0,-11.02,0.2420000000000008,0.2420000000000008,1.9501216797492404,1.3230338885815538,True,0.8006,6.349710707509501,F814W,4150.520089740975,6.0608992986640375,0.3321,2.4567,0.4226,0.0,1.0,0.0
LEGA-C,COSMOS,7002,0.9606,spec,10.76,0.0899999999999998,0.0,0.111,MAGPHYS (de Graaff+21),0.4,-10.87,0.3620000000000001,0.3620000000000001,1.7300474741252534,0.9999061693557542,True,0.2521,1.999134117867108,F814W,4151.790268285219,1.908351108890337,0.814,4.7277,0.8132,0.0,1.0,0.0
LEGA-C,COSMOS,7419,0.972,spec,11.235,0.0899999999999998,0.0600000000000005,0.677,MAGPHYS (de Graaff+21),1.4,-9.425,0.0120000000000004,0.0120000000000004,1.073150623302071,0.974335935010212,False,1.4447,11.49057603399467,F814W,4127.789046653144,10.95288867010424,0.6917,0.7288,0.1254,0.0,1.0,0.0
LEGA-C,COSMOS,7526,0.8949,spec,10.969,0.0,0.0,0.195,MAGPHYS (de Graaff+21),0.7,-11.42,0.3719999999999999,0.3719999999999999,2.1341763882836475,1.1584300319202594,True,0.4375,3.4030244366639213,F814W,4295.741200063328,3.2762881717365078,0.8492,3.4181,0.5879,0.0,1.0,0.0
LEGA-C,COSMOS,9912,0.9683,spec,10.661,0.0700000000000002,0.0199999999999995,0.392,MAGPHYS (de Graaff+21),0.3,-11.07,0.282,0.282,1.7861034237190256,1.0705496837742192,True,0.2096,1.6654819391504492,F814W,4135.548442818676,1.5882933021833785,0.223,2.8896,0.497,0.0,1.0,0.0
LEGA-C,COSMOS,10902,0.7095,spec,11.048,0.1099999999999994,0.0399999999999991,0.459,MAGPHYS (de Graaff+21),0.4,-10.07,0.3369999999999997,0.3369999999999997,1.4450206295746182,1.1262114761417503,False,1.6693,11.992607347651042,F814W,4761.626206493127,11.847042281832302,0.8882,4.2222,0.7262,0.0,1.0,0.0
LEGA-C,COSMOS,11227,0.8254,spec,10.922,0.1100000000000012,0.0,0.415,MAGPHYS (de Graaff+21),0.7,-11.27,0.6120000000000001,0.6120000000000001,2.0849673849534884,1.3216335850715144,True,0.6121,4.644045280181175,F814W,4459.296592527665,4.513054042675039,0.4486,2.1172,0.3642,0.0,1.0,0.0
LEGA-C,COSMOS,12981,0.9571,spec,11.139,0.0999999999999996,0.0600000000000005,0.576,MAGPHYS (de Graaff+21),0.5,-9.975,0.1869999999999994,0.1869999999999994,1.4264411058640634,1.0852961554630407,False,1.3003,10.301633574923786,F814W,4159.21516529559,9.838218054376116,0.7741,5.0958,0.8765,0.0,1.0,0.0
LEGA-C,COSMOS,13570,0.9709,spec,11.018,0.1000000000000014,0.0699999999999985,0.427,MAGPHYS (de Graaff+21),0.4,-10.17,0.1820000000000003,0.1820000000000003,1.4734212300041436,0.9945061893458094,True,0.874,6.949483397595296,F814W,4130.092850981785,6.625214969841082,0.9672,4.8943,0.8418,0.0,1.0,0.0
LEGA-C,COSMOS,14375,0.8279,spec,11.085,0.0,0.0,0.028,MAGPHYS (de Graaff+21),0.5,-11.77,0.4269999999999996,0.4269999999999996,2.003091163143723,1.031786743786859,True,0.3635,2.760619571675174,F814W,4453.197658515236,2.68183500126969,0.3692,3.6732,0.6318,0.0,1.0,0.0
LEGA-C,COSMOS,14729,0.8644,spec,11.283,0.0999999999999996,0.0,0.674,MAGPHYS (de Graaff+21),0.5,-9.675,0.2720000000000002,0.2720000000000002,1.1289946136472704,1.242547851803247,False,1.3565,10.443113383532529,F814W,4366.015876421369,10.095058031893444,0.5004,2.3972,0.4123,0.0,1.0,0.0
LEGA-C,COSMOS,25243,0.6294,spec,11.156,0.0500000000000007,0.0299999999999993,0.139,MAGPHYS (de Graaff+21),0.8,-10.27,0.4519999999999999,0.4519999999999999,1.4909774347265592,1.1126061431572198,False,1.4359,9.81044776693514,F814W,4995.7039401006505,9.80833977404642,0.8065,1.0637,0.183,0.0,1.0,0.0
LEGA-C,COSMOS,25285,0.6123,spec,11.026,0.0999999999999996,0.0500000000000007,0.503,MAGPHYS (de Graaff+21),0.5,-11.57,0.6120000000000001,0.6120000000000001,2.029248117453446,1.29699832176922,True,0.717,4.838406016135636,F814W,5048.688209390312,4.850141913926562,0.9347,3.2036,0.551,0.0,1.0,0.0
LEGA-C,COSMOS,25734,0.8507,spec,11.256,0.0500000000000007,0.0700000000000002,0.921,MAGPHYS (de Graaff+21),1.8,-9.775,0.1620000000000008,0.1620000000000008,1.3547715159451654,1.1730469764921252,False,1.5632,11.975135811698824,F814W,4398.335764845734,11.59738410998348,0.6588,5.0381,0.8666,0.0,1.0,0.0
LEGA-C,COSMOS,25734,0.8508,spec,11.256,0.0500000000000007,0.0700000000000002,0.921,MAGPHYS (de Graaff+21),1.8,-9.775,0.1620000000000008,0.1620000000000008,1.3547715159451654,1.1730469764921252,False,1.5632,11.975576002630698,F814W,4398.098119732008,11.597653752640465,0.6588,5.0381,0.8666,0.0,1.0,0.0
LEGA-C,COSMOS,25994,0.8436,spec,10.87,0.0399999999999991,0.1500000000000003,1.054,MAGPHYS (de Graaff+21),0.5,-10.72,0.5020000000000007,0.5020000000000007,1.7840437332599848,1.1633567185798044,True,0.4092,3.126483451024095,F814W,4415.27446300716,3.0307705566289287,0.9003,3.2727,0.5629,0.0,1.0,0.0
LEGA-C,COSMOS,26080,0.7359,spec,10.917,0.0299999999999993,0.1400000000000005,0.209,MAGPHYS (de Graaff+21),0.7,-11.42,0.5120000000000005,0.5120000000000005,2.044479118088428,1.277103386133212,True,0.9573,6.975115272622195,F814W,4689.210207961288,6.864103345834789,0.6761,4.0965,0.7046,0.0,1.0,0.0
LEGA-C,COSMOS,26283,0.8376,spec,11.208,0.0600000000000005,0.1400000000000005,0.156,MAGPHYS (de Graaff+21),0.1,-10.52,0.3420000000000005,0.3420000000000005,1.597226953816604,0.987877752218664,True,0.5513,4.202637621297136,F814W,4429.690901175446,4.0773012329636,0.8331,4.9044,0.8436,0.0,1.0,0.0
LEGA-C,COSMOS,26292,0.8864,spec,11.032,0.3599999999999994,0.0,0.284,MAGPHYS (de Graaff+21),0.4,-11.37,0.6470000000000002,0.6470000000000002,1.9474907520190443,1.1010230290722958,True,0.2235,1.733631360484935,F814W,4315.09754028838,1.6709440482744302,0.8177,1.7462,0.3003,1.0,1.0,0.0
